ticker,headline,date,timestamp,source
AAPL,Entertainment,2025-07-23,2025-07-23T17:54:18.041206,yahoo_finance
AAPL,New on Yahoo,2025-07-23,2025-07-23T17:54:18.041212,yahoo_finance
MSFT,Entertainment,2025-07-23,2025-07-23T17:54:19.580234,yahoo_finance
MSFT,New on Yahoo,2025-07-23,2025-07-23T17:54:19.580238,yahoo_finance
NVDA,Entertainment,2025-07-23,2025-07-23T17:54:25.879452,yahoo_finance
NVDA,New on Yahoo,2025-07-23,2025-07-23T17:54:25.879458,yahoo_finance
TSLA,Entertainment,2025-07-23,2025-07-23T17:54:27.738397,yahoo_finance
TSLA,New on Yahoo,2025-07-23,2025-07-23T17:54:27.738401,yahoo_finance
NFLX,Entertainment,2025-07-23,2025-07-23T17:54:29.390940,yahoo_finance
NFLX,New on Yahoo,2025-07-23,2025-07-23T17:54:29.390945,yahoo_finance
ADBE,Entertainment,2025-07-23,2025-07-23T17:54:32.646331,yahoo_finance
ADBE,New on Yahoo,2025-07-23,2025-07-23T17:54:32.646337,yahoo_finance
